Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,6154,125,7080,02,589,7689,2673,74,6154,125,7080,02
1,6976,168,7559,89,500,224,2979,752,6976,168,7559,89
2,8366,062,7128,225,-627,4625,2239,083,8366,062,7128,225
3,3416,081,8372,281,-344,5334,430,7648,3416,081,8372,281
4,7047,296,7712,329,1014,369,3393,353,7047,296,7712,329
5,6908,012,8002,846,1549,008,2764,988,6908,012,8002,846
6,4662,607,7801,762,1295,146,2072,522,4662,607,7801,762
7,3055,829,8105,034,296,3208,3129,525,3055,829,8105,034
8,2198,986,5702,966,-108,4367,1822,417,2198,986,5702,966
9,6849,64,6197,655,-267,2249,1825,648,6849,64,6197,655
10,6849,64,6197,655,-267,2249,1825,648,6849,64,6197,655

